..\image4\parking.jpg
487,133,20,0
503,177,20,0
230,83,20,1
241,129,20,1
248,179,20,1
347,214,20,1
348,264,20,1
250,284,20,1
331,158,20,1
481,79,20,1
526,278,20,1
519,219,20,1
612,246,20,1
623,301,20,1
827,186,20,1
880,272,20,1
39,169,20,1
49,116,20,1
63,74,20,1
248,349,20,1
331,326,20,0
775,262,20,0
754,216,20,0
739,168,20,0
142,106,20,0
138,177,20,0
135,239,20,0
137,293,20,0
99,37,20,0
167,35,20,0
241,35,20,0
339,24,20,0
398,72,20,0
408,136,20,0
418,190,20,0
427,247,20,0
437,303,20,0
638,99,20,0
650,151,20,0
673,198,20,0
695,249,20,0
715,307,20,0
535,334,20,0
249,236,20,0
858,22,20,0
884,55,20,0
25,290,20,0
41,240,20,0
36,24,20,0
410,24,20,0
841,78,20,0
867,127,20,0
893,175,20,0
916,217,20,0
727,350,20,0
795,318,20,0
133,345,20,0
443,349,18,0
564,155,16,0
579,200,16,0
566,118,14,0
563,62,14,1
478,34,14,1
747,21,14,1
920,81,14,1
926,128,14,1
709,73,14,1
724,118,16,1
904,339,16,1
839,355,16,1
682,45,16,0
771,71,12,0
306,110,12,0
315,75,12,0
611,354,14,0
27,344,16,1
816,35,18,0
